Horodateur,Environnement,Vie sociale,Accès à la culture,Sécurité,Facilité de transport,Accès à l'emploi,Vie de famille,Coût de la vie,Proche de la mer?,Mer,Proche de la montagne,Montagne,Toulouse,Marseille,Alès,Paris,Annecy,Bordeaux,Lyon,La Rochelle,Saint Chamas,Note max,Première ville,Seconde ville,Troisième ville,Rang Toulouse,Rang Marseille,Rang Alès,Rang Paris,Annecy,Bordeaux,Lyon,La Rochelle,Saint Chamas,Rang 1,Rang 2,Rang 3
22/01/2021 14:04:02,10,7,8,7,10,8,5,7,Pas important,0,Je veux vivre près des montagnes,1,5,1,1,1,5,3,1,5,4,5,Toulouse,Toulouse,Annecy,1,6,6,6,1,5,6,1,4,#VALUE!,,
22/01/2021 14:40:49,7,6,6,7,7,6,3,2,Je veux vivre près de la mer,1,Pas important,0,5,3,2,2,3,3,4,3,2,5,Toulouse,Toulouse,Marseille,1,3,7,7,3,3,2,3,7,,,
24/01/2021 15:40:02,8,10,10,10,10,10,10,3,Je veux vivre près de la mer,1,Pas important,0,1,4,1,4,3,3,2,1,1,4,Marseille,Marseille,Annecy,6,1,6,1,3,3,5,6,6,,,
24/01/2021 15:41:44,5,10,3,10,10,10,10,6,Je veux vivre près de la mer,1,Je veux vivre près des montagnes,1,3,2,1,1,2,3,5,1,2,5,Lyon,Toulouse,Toulouse,2,4,7,7,4,2,1,7,4,,,
24/01/2021 15:42:38,10,10,9,8,8,10,3,6,Pas important,0,Pas important,0,5,3,2,1,5,2,5,2,2,5,Toulouse,Lyon,Toulouse,1,4,5,9,1,5,1,5,5,,,
24/01/2021 15:43:10,9,7,7,10,10,8,9,9,Je veux vivre près de la mer,1,Pas important,0,4,4,3,1,3,2,3,3,3,4,Toulouse,Toulouse,Alès,1,1,3,9,3,8,3,3,3,,,
24/01/2021 15:43:12,8,7,7,10,10,10,8,7,Pas important,0,Pas important,0,4,2,2,1,5,5,4,4,3,5,Annecy,Annecy,Toulouse,3,7,7,9,1,1,3,3,6,,,
24/01/2021 15:44:09,6,7,7,10,5,6,10,7,Pas important,0,Pas important,0,3,1,3,1,3,3,3,3,5,5,Saint Chamas,Saint Chamas,Toulouse,2,8,2,8,2,2,2,2,1,,,
24/01/2021 15:48:11,10,7,10,10,8,10,10,8,Pas important,0,Pas important,0,4,4,3,1,4,4,4,4,4,4,Toulouse,Annecy,Toulouse,1,1,8,9,1,1,1,1,1,,,
24/01/2021 15:55:24,6,8,9,10,10,9,9,7,Je veux vivre près de la mer,1,Pas important,0,3,1,1,5,4,4,5,3,2,5,Paris,#N/A,Annecy,5,8,8,1,3,3,1,5,7,,,
24/01/2021 16:04:23,8,4,4,9,9,10,10,7,Je veux vivre près de la mer,1,Pas important,0,4,3,3,3,5,5,4,4,4,5,Annecy,Annecy,Toulouse,3,7,7,7,1,1,3,3,3,,,
24/01/2021 16:07:02,10,8,8,10,10,10,10,10,Je veux vivre près de la mer,1,Pas important,0,3,1,1,1,3,3,4,3,4,4,Lyon,#N/A,Toulouse,3,7,7,7,3,3,1,3,1,,,
24/01/2021 16:22:14,8,7,7,10,7,8,8,6,Pas important,0,Pas important,0,4,1,2,1,4,3,4,4,3,4,Toulouse,Lyon,Toulouse,1,8,7,8,1,5,1,1,5,,,
24/01/2021 16:22:49,10,9,9,8,6,8,8,7,Je veux vivre près de la mer,1,Je veux vivre près des montagnes,1,3,4,3,3,4,3,2,4,5,5,Saint Chamas,Annecy,Marseille,5,2,5,5,2,5,9,2,1,,,
24/01/2021 16:30:46,5,9,7,10,6,10,8,7,Je veux vivre près de la mer,1,Je veux vivre près des montagnes,1,3,1,1,1,5,2,1,4,1,5,Annecy,Annecy,Toulouse,3,5,5,5,1,4,5,2,5,,,
24/01/2021 16:34:21,10,8,8,9,10,10,9,9,Je veux vivre près de la mer,1,Je veux vivre près des montagnes,1,3,1,1,1,3,3,1,1,1,3,Toulouse,Annecy,Toulouse,1,4,4,4,1,1,4,4,4,,,
24/01/2021 16:35:36,8,10,9,10,10,10,10,10,Je veux vivre près de la mer,1,Pas important,0,3,1,1,4,3,3,4,4,2,4,Paris,#N/A,Paris,4,8,8,1,4,4,1,1,7,,,
24/01/2021 16:43:14,5,8,8,10,10,10,8,5,Pas important,0,Je veux vivre près des montagnes,1,4,1,1,3,4,4,5,2,2,5,Lyon,Lyon,Toulouse,2,8,8,5,2,2,1,6,6,,,
24/01/2021 17:22:45,8,9,9,8,7,6,9,7,Je veux vivre près de la mer,1,Je veux vivre près des montagnes,1,5,2,1,2,4,3,2,3,3,5,Toulouse,Annecy,Bordeaux,1,6,9,6,2,3,6,3,3,,,
24/01/2021 17:23:08,10,10,10,10,10,10,6,5,Pas important,0,Pas important,0,4,2,1,3,4,4,2,3,3,4,Toulouse,Annecy,Toulouse,1,7,9,4,1,1,7,4,4,,,
24/01/2021 17:25:36,8,8,9,8,9,8,8,9,Je veux vivre près de la mer,1,Je veux vivre près des montagnes,1,4,3,5,2,4,4,3,4,4,5,Alès,Annecy,Toulouse,2,7,1,9,2,2,7,2,2,,,
24/01/2021 18:03:38,7,7,4,10,5,4,7,6,Je veux vivre près de la mer,1,Pas important,0,2,1,1,1,3,2,2,3,3,3,Annecy,Annecy,Annecy,4,7,7,7,1,4,4,1,1,,,
24/01/2021 18:36:23,7,9,10,10,10,10,6,10,Je veux vivre près de la mer,1,Pas important,0,5,1,3,4,5,3,2,5,3,5,Toulouse,Annecy,Toulouse,1,9,5,4,1,5,8,1,5,,,
24/01/2021 20:46:30,4,10,10,10,10,10,4,8,Je veux vivre près de la mer,1,Pas important,0,3,1,1,5,2,2,2,1,1,5,Paris,Toulouse,Annecy,2,6,6,1,3,3,3,6,6,,,
24/01/2021 21:09:11,7,9,6,9,8,10,5,8,Je veux vivre près de la mer,1,Pas important,0,4,2,1,3,3,4,4,2,1,4,Toulouse,Toulouse,Toulouse,1,6,8,4,4,1,1,6,8,,,
25/01/2021 01:11:36,6,8,5,10,10,10,8,9,Pas important,0,Pas important,0,5,3,3,1,4,3,4,3,3,5,Toulouse,Lyon,Annecy,1,4,4,9,2,4,2,4,4,,,
25/01/2021 17:31:24,8,8,10,8,8,8,8,2,Je veux vivre près de la mer,1,Pas important,0,3,3,1,4,3,3,4,2,1,4,Paris,#N/A,Toulouse,3,3,8,1,3,3,1,7,8,,,